title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Endangered and Threatened Wildlife and Plants; Removing Trichostema austromontanum ssp. compactum (Hidden Lake Bluecurls) From the Federal List of Endangered and Threatened Plants,Rule,Interior Department; Fish and Wildlife Service,"We, the U.S. Fish and Wildlife Service, are removing the plant Trichostema austromontanum ssp. compactum (Hidden Lake bluecurls) from the Federal List of Endangered and Threatened Plants on the basis of recovery. This action is based on a review of the best available scientific and commercial information, which indicates that the threats to T. a. ssp. compactum have been eliminated or reduced to the point where it no longer meets the definition of an endangered species or a threatened species under the Endangered Species Act of 1973, as amended. This rule also announces the availability of a post-delisting monitoring plan for T. a. ssp. compactum.", 2018-11786,https://www.federalregister.gov/documents/2018/06/01/2018-11786/endangered-and-threatened-wildlife-and-plants-removing-trichostema-austromontanum-ssp-compactum,https://www.gpo.gov/fdsys/pkg/FR-2018-06-01/pdf/2018-11786.pdf,06/01/2018
Exercise of Time-Limited Authority To Increase the Fiscal Year 2018 Numerical Limitation for the H-2B Temporary Nonagricultural Worker Program,Rule,Homeland Security Department; Labor Department; Employment and Training Administration,"The Secretary of Homeland Security, in consultation with the Secretary of Labor, has decided to increase the numerical limitation on H-2B nonimmigrant visas to authorize the issuance of up to an additional 15,000 through the end of Fiscal Year (FY) 2018. This increase is based on a time-limited statutory authority and does not affect the H-2B program in future fiscal years. The Departments are promulgating regulations to implement this determination.", 2018-11732,https://www.federalregister.gov/documents/2018/05/31/2018-11732/exercise-of-time-limited-authority-to-increase-the-fiscal-year-2018-numerical-limitation-for-the,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11732.pdf,05/31/2018
Class Waiver of the Nonmanufacturer Rule,Rule,Small Business Administration,"The U.S. Small Business Administration (SBA) is granting a class waiver of the Nonmanufacturer Rule (NMR) for Positive Airway Pressure Devices and Supplies Manufacturing. This U.S. industry comprises establishments primarily engaged in manufacturing Continuous Positive Airway Pressure (CPAP) devices, Bi-level Positive Airway Pressure (BiPAP) devices, and other products intended to treat sleep apnea by keeping a person's airways open during sleep.", 2018-11658,https://www.federalregister.gov/documents/2018/05/31/2018-11658/class-waiver-of-the-nonmanufacturer-rule,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11658.pdf,05/31/2018
Withdrawal of Pleadings,Rule,Energy Department; Federal Energy Regulatory Commission,"This document contains corrections to the final rule (RM18-7- 000) which published in the Federal Register of Wednesday, May 23, 2018.", 2018-11639,https://www.federalregister.gov/documents/2018/05/31/2018-11639/withdrawal-of-pleadings,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11639.pdf,05/31/2018
"National Performance Management Measures; Assessing Performance of the National Highway System, Freight Movement on the Interstate System, and Congestion Mitigation and Air Quality Improvement Program",Rule,Transportation Department; Federal Highway Administration,"This final rule repeals the performance management measure that assessed the percent change in tailpipe carbon dioxide (CO<INF>2</INF>) emissions, from the reference year 2017, on the National Highway System (NHS) (also referred to as the Greenhouse Gas (GHG) measure). The GHG measure was one of several performance measures that FHWA required State departments of transportation (State DOTs) and metropolitan planning organizations (MPOs) to use to assess performance in a variety of areas. After considering the comments received in response to the notice of proposed rulemaking (NPRM) published on October 5, 2017, FHWA has decided to repeal the GHG measure.", 2018-11652,https://www.federalregister.gov/documents/2018/05/31/2018-11652/national-performance-management-measures-assessing-performance-of-the-national-highway-system,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11652.pdf,05/31/2018
"Drawbridge Operation Regulation; Columbia River, Portland, OR and Vancouver, WA",Rule,Homeland Security Department; Coast Guard,"The Coast Guard has issued a temporary deviation from the operating schedule that governs the Interstate 5 (I-5) Bridges across the Columbia River, mile 106.5, between Portland, OR, and Vancouver, WA. The deviation is necessary to facilitate the movement of heavier than normal roadway traffic associated with the Independence Day fireworks show near the I-5 Bridges. This deviation allows the bridges to remain in the closed-to-navigation position during the event.", 2018-11669,https://www.federalregister.gov/documents/2018/05/31/2018-11669/drawbridge-operation-regulation-columbia-river-portland-or-and-vancouver-wa,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11669.pdf,05/31/2018
"Drawbridge Operation Regulation; Neponset River, Boston, MA",Rule,Homeland Security Department; Coast Guard,"The Coast Guard has issued a temporary deviation from the operating schedule that governs the Granite Avenue Bridge across Neponset River, mile 2.5, at Boston, Massachusetts. This deviation is necessary to facilitate the McKeon Post Scholarship Road Race and allows the bridge to remain in the closed position for two hours.", 2018-11681,https://www.federalregister.gov/documents/2018/05/31/2018-11681/drawbridge-operation-regulation-neponset-river-boston-ma,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11681.pdf,05/31/2018
"Safety Zone; Chesapeake Bay, Virginia Beach, VA",Rule,Homeland Security Department; Coast Guard,"The Coast Guard will enforce a safety zone for a fireworks display taking place over Chesapeake Bay, Virginia Beach, VA, on July 3, 2018. This action is necessary to ensure safety of life on navigable waterways during the fireworks display. Our regulation for Recurring Marine Events within the Fifth Coast Guard District identifies the regulated area for this fireworks display event. During the enforcement period, no person or vessel may enter, transit through, anchor in, or remain within the regulated area without approval from the Captain of the Port or a designated representative.", 2018-11644,https://www.federalregister.gov/documents/2018/05/31/2018-11644/safety-zone-chesapeake-bay-virginia-beach-va,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11644.pdf,05/31/2018
"Safety Zone; US 68/KY 80 Lake Barkley Bridge, Cumberland River, Canton, KY",Rule,Homeland Security Department; Coast Guard,"The Coast Guard is establishing a temporary safety zone for a one-mile stretch of the navigable waters on of the Cumberland River, near the U.S. 68/KY 80 Lake Barkley Bridge-Henry R. Lawrence Memorial Bridge in Canton, KY. The safety zone is needed to protect persons, vessels, and the marine environment from potential hazards created by the demolition of the bridge pier. Entry of vessels or persons into this zone is prohibited unless authorized by the Captain of the Port Sector Ohio Valley or a designated representative.", 2018-11661,https://www.federalregister.gov/documents/2018/05/31/2018-11661/safety-zone-us-68ky-80-lake-barkley-bridge-cumberland-river-canton-ky,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11661.pdf,05/31/2018
Approval and Promulgation of Implementation Plans,Rule,Environmental Protection Agency,"", 2018-11702,https://www.federalregister.gov/documents/2018/05/31/2018-11702/approval-and-promulgation-of-implementation-plans,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11702.pdf,05/31/2018
Approval and Promulgation of Air Quality Implementation Plans; Maryland; Continuous Opacity Monitoring Requirements for Municipal Waste Combustors,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is taking final action to approve a revision to the State of Maryland's Clean Air Act (CAA) sections 111(d) and 129 State Plan for municipal waste combustors (MWCs). The revision reflects amendments to Code of Maryland Regulations (COMAR) 26.11.08.08, which update the MWC opacity compliance provisions. The Maryland Department of the Environment (MDE)'s revised regulations provide that quality assurance (QA) and quality control (QC) requirements for continuous opacity monitors (COMs) are found in COMAR 26.11.31, rather than the now discontinued Technical Memorandum (TM 90-01). EPA is approving this revision to Maryland's CAA sections 111(d) and 129 State Plan in accordance with the requirements of the CAA.", 2018-11746,https://www.federalregister.gov/documents/2018/05/31/2018-11746/approval-and-promulgation-of-air-quality-implementation-plans-maryland-continuous-opacity-monitoring,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11746.pdf,05/31/2018
Defensin Proteins Derived From Spinach in Citrus Plants; Temporary Exemption From the Requirement of a Tolerance,Rule,Environmental Protection Agency,"This regulation establishes a temporary exemption from the requirement of a tolerance for residues of the spinach defensin proteins SoD2, SoD2*, SoD7, and SoD8 in or on citrus when used as plant-incorporated-protectants in accordance with the terms of Experimental Use Permit (EUP) No. 88232-EUP-1. Southern Gardens Citrus Nursery, LLC, submitted a petition to EPA under the Federal Food, Drug, and Cosmetic Act (FFDCA), requesting the temporary tolerance exemption. This regulation eliminates the need to establish a maximum permissible level for residues of spinach defensin proteins SoD2, SoD2*, SoD7, and SoD8. The temporary tolerance exemption expires on May 31, 2021.", 2018-11750,https://www.federalregister.gov/documents/2018/05/31/2018-11750/defensin-proteins-derived-from-spinach-in-citrus-plants-temporary-exemption-from-the-requirement-of,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11750.pdf,05/31/2018
Snapper-Grouper Fishery of the South Atlantic; 2018 Commercial Accountability Measure and Closure for South Atlantic Yellowtail Snapper,Rule,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS implements an accountability measure (AM) for the commercial sector for yellowtail snapper in the South Atlantic exclusive economic zone (EEZ). NMFS projects that commercial landings of yellowtail snapper will reach the commercial annual catch limit (ACL) for the August 2017 through July 2018 fishing year by June 5, 2018. Therefore, NMFS closes the commercial sector for yellowtail snapper in the South Atlantic EEZ on June 5, 2018, and it will remain closed until August 1, 2018, the start of the August 2018 through July 2019 fishing year. This closure is necessary to protect the South Atlantic yellowtail snapper resource.", 2018-11665,https://www.federalregister.gov/documents/2018/05/31/2018-11665/snapper-grouper-fishery-of-the-south-atlantic-2018-commercial-accountability-measure-and-closure-for,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11665.pdf,05/31/2018
"Fisheries of the Northeastern United States; Recreational Management Measures for the Summer Flounder, Scup, and Black Sea Bass Fisheries; Fishing Year 2018",Rule,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS announces management measures for the 2018 summer flounder, scup, and black sea bass recreational fisheries. The implementing regulations for these fisheries require NMFS to publish recreational measures for the fishing year. The intent of these measures is to constrain recreational catch to established limits and prevent overfishing of summer flounder, scup, and black sea bass.", 2018-11606,https://www.federalregister.gov/documents/2018/05/31/2018-11606/fisheries-of-the-northeastern-united-states-recreational-management-measures-for-the-summer-flounder,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11606.pdf,05/31/2018
"Elimination of Trichinae Control Regulations and Consolidation of Thermally Processed, Commercially Sterile Regulations",Rule,Agriculture Department; Food Safety and Inspection Service,"The Food Safety and Inspection Service (FSIS) is amending the Federal meat inspection regulations to eliminate the requirements for both ready-to-eat (RTE) and not-ready-to-eat (NRTE) pork and pork products to be treated to destroy trichinae (Trichinella spiralis) because the regulations are inconsistent with the Hazard Analysis and Critical Control Point (HACCP) regulations, and because these prescriptive regulations are no longer necessary. FSIS is ending its Trichinella Approved Laboratory Program (TALP program) for the evaluation and approval of non-Federal laboratories that use the pooled sample digestion technique to analyze samples for the presence of trichinae. FSIS is also consolidating the regulations on thermally processed, commercially sterile meat and poultry products (i.e., canned food products containing meat or poultry).", 2018-11300,https://www.federalregister.gov/documents/2018/05/31/2018-11300/elimination-of-trichinae-control-regulations-and-consolidation-of-thermally-processed-commercially,https://www.gpo.gov/fdsys/pkg/FR-2018-05-31/pdf/2018-11300.pdf,05/31/2018
Involuntary Liquidation of Federal Credit Unions and Claims Procedures,Rule,National Credit Union Administration,"The NCUA Board (Board) is amending part 709 of its rules to update and clarify the procedures that apply to claims administration for federally insured credit unions that enter involuntary liquidation. Specifically, the final rule amends the payout priority provision by specifying the conditions that claims in the nature of severance must meet to be allowed as provable claims.", 2018-11588,https://www.federalregister.gov/documents/2018/05/30/2018-11588/involuntary-liquidation-of-federal-credit-unions-and-claims-procedures,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11588.pdf,05/30/2018
Special Conditions: Bombardier Inc. Model BD-700-2A12 and Model BD-700-2A13 Airplanes; Autobrake System Structural Loads,Rule,Transportation Department; Federal Aviation Administration,These special conditions are issued for the Bombardier Inc. Model BD-700-2A12 and Model BD-700-2A13 airplanes. This airplane will have a novel or unusual design feature when compared to the state of technology envisioned in the airworthiness standards for transport category airplanes. This design feature is an autobrake system that allows earlier braking at landing without pedal input from the pilot. The applicable airworthiness regulations do not contain adequate or appropriate safety standards for this design feature. These special conditions contain the additional safety standards that the Administrator considers necessary to establish a level of safety equivalent to that established by the existing airworthiness standards., 2018-11506,https://www.federalregister.gov/documents/2018/05/30/2018-11506/special-conditions-bombardier-inc-model-bd-700-2a12-and-model-bd-700-2a13-airplanes-autobrake-system,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11506.pdf,05/30/2018
Airworthiness Directives; Airbus Airplanes,Rule,Transportation Department; Federal Aviation Administration,"We are adopting a new airworthiness directive (AD) for all Airbus Model A320-271N airplanes, and Model A321-271N, -271NX, -272N and -272NX airplanes. This AD requires replacing certain full authority digital engine control (FADEC) electronic engine controllers (EECs); or installing software standard FCS4.4 and re-identifying the FADEC EECs. This AD was prompted by a report that, when operated at low speed and high engine thrust, an engine did not restart following a fuel interruption shorter than five seconds. We are issuing this AD to address the unsafe condition on these products.", 2018-11659,https://www.federalregister.gov/documents/2018/05/30/2018-11659/airworthiness-directives-airbus-airplanes,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11659.pdf,05/30/2018
FAST Act Section 61003-Critical Electric Infrastructure Security and Critical Energy Infrastructure Information,Rule,Energy Department; Federal Energy Regulatory Commission,"The Federal Energy Regulatory Commission (Commission) in this order on clarification and rehearing grants in part Edison Electric Institute's request for clarification or, in the alternative, rehearing of Order No. 833, and denies rehearing of that order, which amends the Commission's regulations to implement provisions of the Fixing America's Surface Transportation Act pertaining to the designation, protection, and sharing of Critical Energy/Electric Infrastructure Information.", 2018-11537,https://www.federalregister.gov/documents/2018/05/30/2018-11537/fast-act-section-61003-critical-electric-infrastructure-security-and-critical-energy-infrastructure,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11537.pdf,05/30/2018
Income Taxes,Rule,Treasury Department; Internal Revenue Service,"", 2018-11690,https://www.federalregister.gov/documents/2018/05/30/2018-11690/income-taxes,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11690.pdf,05/30/2018
"Approval and Promulgation of Air Quality Implementation Plans; New Jersey; Infrastructure Requirements for the 2008 Lead, 2008 Ozone, 2010 Nitrogen Dioxide, 2010 Sulfur Dioxide, 2011 Carbon Monoxide, 2006 PM10",Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is approving elements of New Jersey's State Implementation Plan (SIP) revision submittal regarding the infrastructure requirements of section 110(a)(1) and (2) of the Clean Air Act (CAA) for the 2008 lead, 2008 ozone, 2010 nitrogen dioxide, 2010 sulfur dioxide, 2011 carbon monoxide, 2006 particulate matter of 10 microns or less (PM<INF>10</INF>), and 2012 particulate matter of 2.5 microns or less (PM<INF>2.5</INF>) National Ambient Air Quality Standards (NAAQS). The EPA is also approving three infrastructure requirements of the 1997 ozone and the 1997 and 2006 PM<INF>2.5</INF> NAAQS. The infrastructure requirements are designed to ensure that the structural components of each state's air quality management program are adequate to meet the state's responsibilities under the CAA.", 2018-10801,https://www.federalregister.gov/documents/2018/05/30/2018-10801/approval-and-promulgation-of-air-quality-implementation-plans-new-jersey-infrastructure-requirements,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-10801.pdf,05/30/2018
Response to Vacatur of Certain Provisions of the Definition of Solid Waste Rule,Rule,Environmental Protection Agency,"The Environmental Protection Agency is revising regulations associated with the definition of solid waste under the Resource Conservation and Recovery Act. These revisions implement vacaturs ordered by the United States Court of Appeals for the District of Columbia Circuit (D.C. Circuit), on July 7, 2017, as modified on March 6, 2018.", 2018-11578,https://www.federalregister.gov/documents/2018/05/30/2018-11578/response-to-vacatur-of-certain-provisions-of-the-definition-of-solid-waste-rule,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11578.pdf,05/30/2018
Control of Communicable Diseases; Technical Correction,Rule,Health and Human Services Department,"The Centers for Disease Control and Prevention (CDC) in the Department of Health and Human Services (HHS) announces a technical correction to the final rule published on July 10, 2017. The July 10, 2017, technical correction provided amendments to a final rule published on January 19, 2017, but contained an error. HHS/CDC is therefore submitting a new correction to correct that error.", 2018-11539,https://www.federalregister.gov/documents/2018/05/30/2018-11539/control-of-communicable-diseases-technical-correction,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11539.pdf,05/30/2018
Private Investment Project Procedures,Rule,Transportation Department; Federal Transit Administration,"The Federal Transit Administration (FTA) is issuing a final rule describing new, experimental procedures to encourage increased project management flexibility, more innovation in project funding, improved efficiency, timely project implementation, and new project revenue streams for public transportation capital projects. A primary goal of this final rule is to address impediments to the greater use of public-private partnerships and private investment in public transportation capital projects. FTA anticipates using the lessons learned from these experimental procedures to develop more effective approaches to including private participation and investment in project planning, project development, finance, design, construction, maintenance, and operations.", 2018-11385,https://www.federalregister.gov/documents/2018/05/30/2018-11385/private-investment-project-procedures,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11385.pdf,05/30/2018
Defense Federal Acquisition Regulation Supplement: Repeal of DFARS Provision “Alternative Line Item Structure” (DFARS Case 2017-D045),Rule,Defense Department; Defense Acquisition Regulations System,DoD is issuing a final rule amending the Defense Federal Acquisition Regulation Supplement (DFARS) to remove a provision that provided guidelines to offerors when proposing an alternative line item structure in response to a solicitation., 2018-11339,https://www.federalregister.gov/documents/2018/05/30/2018-11339/defense-federal-acquisition-regulation-supplement-repeal-of-dfars-provision-alternative-line-item,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11339.pdf,05/30/2018
