title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
"Cranberries Grown in the States of Massachusetts, Rhode Island, Connecticut, New Jersey, Wisconsin, Michigan, Minnesota, Oregon, Washington, and Long Island in the State of New York; Proposed Amendment to Marketing Order 929 and Referendum Order",Proposed Rule,Agriculture Department; Agricultural Marketing Service,"This rulemaking proposes an amendment to Marketing Order No. 929, which regulates the handling of cranberries grown in the states of Massachusetts, Rhode Island, Connecticut, New Jersey, Wisconsin, Michigan, Minnesota, Oregon, Washington, and Long Island in the State of New York. The Cranberry Marketing Committee (Committee), recommended adding authority to accept contributions from domestic sources for research and development activities authorized under the marketing order and that would be free from any encumbrances as to their use by the donor.", 2018-19834,https://www.federalregister.gov/documents/2018/09/14/2018-19834/cranberries-grown-in-the-states-of-massachusetts-rhode-island-connecticut-new-jersey-wisconsin,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19834.pdf,09/14/2018
Airworthiness Directives; Honeywell International Inc. Turbofan Engines,Proposed Rule,Transportation Department; Federal Aviation Administration,"We propose to supersede Airworthiness Directive (AD) 2017-20- 01, which applies to certain Honeywell International Inc. (Honeywell) TFE731-20 and TFE731-40 turbofan engines. AD 2017-20-01 requires removing the affected fan disk and replacing it with a fan disk eligible for installation. Since we issued AD 2017-20-01, we determined that some turbofan engine models were omitted from the applicability of AD 2017-20-01. This proposed AD would add these turbofan engine models to the applicability, remove the Honeywell TFE731-20 turbofan engine from the applicability, and prohibit installation of affected fan disks. We are proposing this AD to address the unsafe condition on these products.", 2018-19798,https://www.federalregister.gov/documents/2018/09/14/2018-19798/airworthiness-directives-honeywell-international-inc-turbofan-engines,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19798.pdf,09/14/2018
Airworthiness Directives; The Boeing Company Airplanes,Proposed Rule,Transportation Department; Federal Aviation Administration,"We are revising an earlier proposal for certain The Boeing Company Model 737-600, -700, -700C, -800, -900, and -900ER series airplanes. This action revises the notice of proposed rulemaking (NPRM) by adding airplanes to the applicability and adding a measurement of the distance between the hooks of the torsion spring of the lanyard assembly. We are proposing this airworthiness directive (AD) to address the unsafe condition on these products. Since these actions would impose an additional burden over those in the NPRM, we are reopening the comment period to allow the public the chance to comment on these changes.", 2018-19838,https://www.federalregister.gov/documents/2018/09/14/2018-19838/airworthiness-directives-the-boeing-company-airplanes,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19838.pdf,09/14/2018
"Airworthiness Directives; Bombardier, Inc., Airplanes",Proposed Rule,Transportation Department; Federal Aviation Administration,"We propose to supersede Airworthiness Directive (AD) 2010-14- 05, which applies to certain Bombardier, Inc., Model CL-600-1A11 (600), CL-600-2A12 (601), and CL-600-2B16 (601-3A, 601-3R, and 604 Variants) airplanes. AD 2010-14-05 requires inspection for the part numbers of the system and brake accumulators, and repetitive replacement of affected accumulators. Since we issued AD 2010-14-05, we have determined that new or more restrictive airworthiness limitations, as well as additional actions, are necessary to address the unsafe condition. In addition to the requirements of AD 2010-14-05, this proposed AD would require relocating the accumulators and revising the maintenance or inspection program to incorporate new or more restrictive airworthiness limitations. This proposed AD would also add optional terminating action for certain airplanes. We are proposing this AD to address the unsafe condition on these products.", 2018-19759,https://www.federalregister.gov/documents/2018/09/14/2018-19759/airworthiness-directives-bombardier-inc-airplanes,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19759.pdf,09/14/2018
Airworthiness Directives; Airbus SAS Airplanes,Proposed Rule,Transportation Department; Federal Aviation Administration,"We propose to adopt a new airworthiness directive (AD) for certain Airbus SAS Model A350-941 airplanes. This proposed AD was prompted by a determination that certain holes for the vertical tail plane (VTP) tension bolts connection are not properly protected against corrosion. This proposed AD would require modifying the VTP tension bolts connection by adding sealant and protective treatment to the head of the connection, at the barrel nut cavities, and in the surrounding area. We are proposing this AD to address the unsafe condition on these products.", 2018-19767,https://www.federalregister.gov/documents/2018/09/14/2018-19767/airworthiness-directives-airbus-sas-airplanes,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19767.pdf,09/14/2018
"Airworthiness Directives; Zodiac Seats France, Cabin Attendant Seats",Proposed Rule,Transportation Department; Federal Aviation Administration,We propose to adopt a new airworthiness directive (AD) for all Zodiac Seats France 536-Series Cabin Attendant Seats. This proposed AD was prompted by potential risk of premature corrosion on the seat structure and clamps. This proposed AD would require inspection and modification of all Zodiac Seats France 536-Series Cabin Attendant Seats. We are proposing this AD to address the unsafe condition on these products., 2018-19797,https://www.federalregister.gov/documents/2018/09/14/2018-19797/airworthiness-directives-zodiac-seats-france-cabin-attendant-seats,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19797.pdf,09/14/2018
The Standard for Determining Joint-Employer Status,Proposed Rule,National Labor Relations Board,"In order to more effectively enforce the National Labor Relations Act (the Act or the NLRA) and to further the purposes of the Act, the National Labor Relations Board (the Board) proposes a regulation establishing the standard for determining whether two employers, as defined in Section 2(2) of the Act, are a joint employer of a group of employees under the NLRA. The Board believes that this rulemaking will foster predictability and consistency regarding determinations of joint-employer status in a variety of business relationships, thereby promoting labor-management stability, one of the principal purposes of the Act. Under the proposed regulation, an employer may be considered a joint employer of a separate employer's employees only if the two employers share or codetermine the employees' essential terms and conditions of employment, such as hiring, firing, discipline, supervision, and direction. More specifically, to be deemed a joint employer under the proposed regulation, an employer must possess and actually exercise substantial direct and immediate control over the essential terms and conditions of employment of another employer's employees in a manner that is not limited and routine.", 2018-19930,https://www.federalregister.gov/documents/2018/09/14/2018-19930/the-standard-for-determining-joint-employer-status,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19930.pdf,09/14/2018
Designation of Product Categories for Federal Procurement,Proposed Rule,"Agriculture Department; Procurement and Property Management, Office of","The U.S. Department of Agriculture (USDA) is proposing to amend the Guidelines for Designating Biobased Products for Federal Procurement (Guidelines) to add 30 sections that will designate the product categories within which biobased products would be afforded procurement preference by Federal agencies and their contractors. These 30 product categories contain finished products that are made, in large part, from intermediate ingredients that have been proposed for designation for Federal procurement preference. USDA is also proposing minimum biobased contents for each of these product categories. Additionally, USDA is proposing to amend the existing designated product categories of general purpose de-icers, firearm lubricants, laundry products, and water clarifying agents.", 2018-19681,https://www.federalregister.gov/documents/2018/09/14/2018-19681/designation-of-product-categories-for-federal-procurement,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19681.pdf,09/14/2018
Airworthiness Directives; Leonardo S.p.A. Helicopters,Proposed Rule,Transportation Department; Federal Aviation Administration,"We propose to adopt a new airworthiness directive (AD) for certain Leonardo S.p.A. (Leonardo) Model AW169 helicopters. This proposed AD would require replacing the seals, filler wedges, and handles of each emergency exit window. This proposed AD is prompted by a report that a high level of pushing force was required to jettison some windows. The actions of this proposed AD are intended to address an unsafe condition on these products.", 2018-19736,https://www.federalregister.gov/documents/2018/09/13/2018-19736/airworthiness-directives-leonardo-spa-helicopters,https://www.gpo.gov/fdsys/pkg/FR-2018-09-13/pdf/2018-19736.pdf,09/13/2018
Airworthiness Directives; Airbus Helicopters Deutschland GmbH (Previously Eurocopter Deutschland GmbH),Proposed Rule,Transportation Department; Federal Aviation Administration,"We propose to supersede Airworthiness Directive (AD) 97-26-03 for Eurocopter Deutschland GmbH Model MBB-BK 117 A-1, MBB-BK 117 A-3, MBB-BK 117 A-4, MBB-BK 117 B-1, MBB-BK 117 B-2, and MBB-BK 117 C-1 helicopters. AD 97-26-03 requires visual inspections for cracks in the ribbed area of the main rotor (M/R) mast flange (flange). Since we issued AD 97-26-03, we have determined that a certain reinforced M/R mast is not affected by the unsafe condition. This proposed AD would retain the requirements of AD 97-26-03 and would remove a certain M/R mast from the applicability. The actions of this proposed AD are intended to address an unsafe condition on these products.", 2018-19737,https://www.federalregister.gov/documents/2018/09/13/2018-19737/airworthiness-directives-airbus-helicopters-deutschland-gmbh-previously-eurocopter-deutschland-gmbh,https://www.gpo.gov/fdsys/pkg/FR-2018-09-13/pdf/2018-19737.pdf,09/13/2018
