title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Connect America Fund; Universal Service Reform-Mobility Fund,Proposed Rule,Federal Communications Commission,"In this document, the Commission seeks comment on the parameters for the process in determining whether areas are eligible for funding under the Mobility Fund Phase II. The Commission established the framework for the Mobility Fund Phase II in a Report and Order--adopted concurrently with the Further Notice of Proposed Rulemaking (Further Notice)--but had remaining questions regarding the process in which entities may challenge the areas eligible for support. Therefore, the Commission anticipates that additional comment will allow it to make more informed decisions on the challenge process, thereby making a more robust, targeted challenge process that efficiently resolves disputes about areas eligible for MF-II support.", 2017-04988,https://www.federalregister.gov/documents/2017/03/13/2017-04988/connect-america-fund-universal-service-reform-mobility-fund,https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04988.pdf,03/13/2017
"Revise and Streamline VA Acquisition Regulation To Adhere to Federal Acquisition Regulation Principles (VAAR Case 2014-V002-Parts 816, 828)",Proposed Rule,Veterans Affairs Department,"The Department of Veterans Affairs (VA) is proposing to amend and update its VA Acquisition Regulation (VAAR). Under this initiative, all parts of the regulation are being reviewed in phased increments to revise or remove any policy that has been superseded by changes in Federal Acquisition Regulation (FAR), to remove any procedural guidance that is internal to the VA, and to incorporate any new regulations or policies. Acquisition regulations become outdated over time and require updating to incorporate additional policies, solicitation provisions, or contract clauses that implement and supplement the FAR to satisfy VA mission needs, and to incorporate changes in dollar and approval thresholds, definitions, and VA position titles and offices. This Proposed Rule will correct inconsistencies, remove redundant and duplicate material already covered by the FAR, delete outdated material or information, and appropriately renumber VAAR text, clauses and provisions where required to comport with FAR format, numbering and arrangement. This Proposed Rule will streamline the VAAR to implement and supplement the FAR only when required, and remove internal agency guidance as noted above in keeping with the FAR principles concerning agency acquisition regulations.", 2017-04877,https://www.federalregister.gov/documents/2017/03/13/2017-04877/revise-and-streamline-va-acquisition-regulation-to-adhere-to-federal-acquisition-regulation,https://www.gpo.gov/fdsys/pkg/FR-2017-03-13/pdf/2017-04877.pdf,03/13/2017
Pennsylvania Regulatory Program,Proposed Rule,Interior Department; Surface Mining Reclamation and Enforcement Office,"We, the Office of Surface Mining Reclamation and Enforcement (OSMRE), are announcing receipt of a proposed amendment to the Pennsylvania program under the Surface Mining Control and Reclamation Act of 1977 (SMCRA or the Act). Through this proposed amendment, Pennsylvania seeks to revise its program to further define the implementation process for the reclamation of alternative bonding system (ABS) ``Legacy Sites'', and to clearly identify the current list of Legacy Sites, as well as sites that may qualify in the future as Legacy Sites. This document gives the times and locations that the Pennsylvania program and this proposed amendment to that program are available for your inspection, the comment period during which you may submit written comments on the amendment, and the procedures that we will follow for the public hearing, if one is requested.", 2017-04747,https://www.federalregister.gov/documents/2017/03/10/2017-04747/pennsylvania-regulatory-program,https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04747.pdf,03/10/2017
"Air Plan Approval; Nevada, Lake Tahoe; Second 10-Year Carbon Monoxide Limited Maintenance Plan",Proposed Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is proposing approval of a State Implementation Plan (SIP) revision submitted by the State of Nevada (``State''). On December 15, 2003, the EPA redesignated the Lake Tahoe, Nevada area (area), consisting of the Nevada portion of the Lake Tahoe basin in Nevada's Washoe, Carson City and Douglas counties, from nonattainment to attainment for the carbon monoxide (CO) national ambient air quality standards (NAAQS) and approved the State's plan addressing the area's maintenance of the CO NAAQS for ten years. On April 3, 2012, the State submitted to the EPA a second CO maintenance plan for the area that addressed maintenance of the CO NAAQS through 2024. On August 26, 2016, the State submitted a supplement to their 2012 submittal. The EPA is also proposing to approve an alternative CO monitoring strategy for the area, that the State included in their August 2016 submittal. We are making this proposal under the Clean Air Act.", 2017-04770,https://www.federalregister.gov/documents/2017/03/10/2017-04770/air-plan-approval-nevada-lake-tahoe-second-10-year-carbon-monoxide-limited-maintenance-plan,https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04770.pdf,03/10/2017
Approval and Promulgation of Implementation Plans; New Mexico; Albuquerque/Bernalillo County; New Source Review (NSR) Preconstruction Permitting Program,Proposed Rule,Environmental Protection Agency,"Pursuant to the Federal Clean Air Act (the Act or CAA), the Environmental Protection Agency (EPA) is proposing to approve portions of revisions to the applicable New Source Review (NSR) State Implementation Plan (SIP) for the City of Albuquerque-Bernalillo County. Additionally, the EPA is proposing to conditionally approve the provisions establishing accelerated review and technical permit revisions. The EPA is proposing to approve the following: The establishment of a new Minor NSR (MNSR) general construction permitting program; changes to the MNSR Public Participation requirements; and the addition of exemptions from MNSR permitting for inconsequential emission sources and activities.", 2017-04734,https://www.federalregister.gov/documents/2017/03/10/2017-04734/approval-and-promulgation-of-implementation-plans-new-mexico-albuquerquebernalillo-county-new-source,https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04734.pdf,03/10/2017
Air Plan Approval; Minnesota; Sulfur Dioxide; Particulate Matter,Proposed Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is proposing to approve a revision to the Minnesota sulfur dioxide (SO<INF>2</INF>) and particulate matter of less than 10 microns (PM<INF>10</INF>) State Implementation Plans (SIPs) as submitted on December 11, 2015. The revision will update the Rochester SO<INF>2</INF> and Olmsted County PM<INF>10</INF> maintenance plans to reflect changes in available controls, operating practices, and cleaner fuel options that have resulted in significant reductions of SO<INF>2</INF> and PM<INF>10</INF> emissions in the maintenance areas. EPA is also proposing to approve the removal of existing title I SO<INF>2</INF> SIP conditions for six facilities from the SO<INF>2</INF> SIP, and the state's evaluation that such changes ensure continued attainment of the SO<INF>2</INF> National Ambient Air Quality Standards (NAAQS).", 2017-04691,https://www.federalregister.gov/documents/2017/03/10/2017-04691/air-plan-approval-minnesota-sulfur-dioxide-particulate-matter,https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04691.pdf,03/10/2017
"Approval of Nevada Air Plan Revisions, Clark County Department of Air Quality and Washoe County Health District",Proposed Rule,Environmental Protection Agency,The Environmental Protection Agency (EPA) is proposing to approve revisions to the Clark County Department of Air Quality and Washoe County Health District portions of the Nevada State Implementation Plan. These revisions concern emissions of particulate matter from fugitive dust. We are proposing to approve local rules to regulate these emission sources under the Clean Air Act. We are taking comments on this proposal and plan to follow with a final action., 2017-04777,https://www.federalregister.gov/documents/2017/03/10/2017-04777/approval-of-nevada-air-plan-revisions-clark-county-department-of-air-quality-and-washoe-county,https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04777.pdf,03/10/2017
"Approval of California Air Plan Revisions, Antelope Valley Air Quality Management District",Proposed Rule,Environmental Protection Agency,The Environmental Protection Agency (EPA) is proposing to approve a revision to the Antelope Valley Air Quality Management District (AVAQMD) portion of the California State Implementation Plan (SIP). This revision concerns emissions of volatile organic compounds (VOCs) and oxides of nitrogen (NO<INF>X</INF>) from passenger vehicles. We are proposing to approve a local rule to regulate these emission sources under the Clean Air Act (CAA or the Act). We are taking comments on this proposal and plan to follow with a final action., 2017-04689,https://www.federalregister.gov/documents/2017/03/10/2017-04689/approval-of-california-air-plan-revisions-antelope-valley-air-quality-management-district,https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04689.pdf,03/10/2017
Notification of Completeness of the Department of Energy's Compliance Recertification Application for the Waste Isolation Pilot Plant,Proposed Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA or ``the Agency'') has determined that the Department of Energy's (DOE) Compliance Recertification Application (CRA or ``application'') for the Waste Isolation Pilot Plant (WIPP) is complete. The EPA provided written notice of the completeness decision to the Secretary of Energy on January 13, 2017. The text of the letter is contained in the SUPPLEMENTARY INFORMATION. The Agency has determined that the application is complete, in accordance with EPA regulations. The completeness determination is an administrative step that is required by regulation, and it does not imply in any way that the CRA demonstrates compliance with the Compliance Certification Criteria or the disposal regulations. The EPA is now engaged in the full technical review that will determine if the WIPP remains in compliance with the disposal regulations. As required by the 1992 WIPP Land Withdrawal Act and its implementing regulations, the EPA will make a final recertification decision within six months of issuing the completeness letter to the Secretary of Energy.", 2017-04800,https://www.federalregister.gov/documents/2017/03/10/2017-04800/notification-of-completeness-of-the-department-of-energys-compliance-recertification-application-for,https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04800.pdf,03/10/2017
Authorizing Permissive Use of the “Next Generation” Broadcast Television Standard,Proposed Rule,Federal Communications Commission,"In this document, the Commission proposes to authorize television broadcasters to use the ``Next Generation'' broadcast television transmission standard associated with recent work of the Advanced Television Systems Committee on a voluntary, market-driven basis, while they continue to deliver current-generation digital television broadcast service, using the ATSC 1.0 standard, to their viewers. This new standard has the potential to greatly improve broadcast signal reception and will enable broadcasters to offer enhanced and innovative new features to consumers.", 2017-04713,https://www.federalregister.gov/documents/2017/03/10/2017-04713/authorizing-permissive-use-of-the-next-generation-broadcast-television-standard,https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04713.pdf,03/10/2017
Fisheries of the Exclusive Economic Zone Off Alaska; Integrating Electronic Monitoring Into the North Pacific Observer Program,Proposed Rule,Commerce Department; National Oceanic and Atmospheric Administration,"The North Pacific Fishery Management Council submitted Amendment 114 to the Fishery Management Plan for Groundfish of the Bering Sea and Aleutian Islands Management Area and Amendment 104 to the Fishery Management Plan for Groundfish of the Gulf of Alaska (collectively referred to as the FMPs) to the Secretary of Commerce (Secretary) for review. If approved, Amendments 114/104 would integrate electronic monitoring into the North Pacific Observer Program. This action is necessary to improve the collection of data necessary for the conservation, management, and scientific understanding of managed fisheries. Amendments 114/104 are intended to promote the goals and objectives of the Magnuson-Stevens Fishery Conservation and Management Act, the FMPs, and other applicable laws.", 2017-04716,https://www.federalregister.gov/documents/2017/03/10/2017-04716/fisheries-of-the-exclusive-economic-zone-off-alaska-integrating-electronic-monitoring-into-the-north,https://www.gpo.gov/fdsys/pkg/FR-2017-03-10/pdf/2017-04716.pdf,03/10/2017
Airworthiness Directives; The Boeing Company Airplanes,Proposed Rule,Transportation Department; Federal Aviation Administration,"We propose to adopt a new airworthiness directive (AD) for all The Boeing Company Model 737-600, -700, -700C, -800, -900, and -900ER series airplanes; Model 757 airplanes; and Model 767 airplanes. This proposed AD was prompted by reports of latently failed motor operated valve (MOV) actuators of the fuel shutoff valves. This proposed AD would require replacing certain MOV actuators of the fuel shutoff valves for the left and right engines (all airplanes) and of the auxiliary power unit (APU) fuel shutoff valve (Model 757 and Model 767 airplanes); and revising the maintenance or inspection program, as applicable, to incorporate certain airworthiness limitations (AWLs). We are proposing this AD to address the unsafe condition on these products.", 2017-04561,https://www.federalregister.gov/documents/2017/03/09/2017-04561/airworthiness-directives-the-boeing-company-airplanes,https://www.gpo.gov/fdsys/pkg/FR-2017-03-09/pdf/2017-04561.pdf,03/09/2017
Airworthiness Directives; CFM International S.A. Turbofan Engines,Proposed Rule,Transportation Department; Federal Aviation Administration,"We propose to adopt a new airworthiness directive (AD) for certain CFM International S.A. (CFM) CFM56-3, -3B, and -3C turbofan engines. This proposed AD was prompted by a report of dual-engine loss of thrust control that resulted in an air turn back. This proposed AD would require initial and repetitive checks of the variable stator vane (VSV) actuation system in the high-pressure compressor (HPC). We are proposing this AD to correct the unsafe condition on these products.", 2017-04523,https://www.federalregister.gov/documents/2017/03/09/2017-04523/airworthiness-directives-cfm-international-sa-turbofan-engines,https://www.gpo.gov/fdsys/pkg/FR-2017-03-09/pdf/2017-04523.pdf,03/09/2017
Airworthiness Directives; The Boeing Company Airplanes,Proposed Rule,Transportation Department; Federal Aviation Administration,"We propose to adopt a new airworthiness directive (AD) for all The Boeing Company Model 737-300, -400, and -500 series airplanes. This proposed AD was prompted by a manufacturer's review that showed that the tank access door at a certain wing buttock line did not have an engineered ground path with the mating wing structure. This proposed AD would require replacing the tank access door, doing a check of the electrical bond, doing related investigative and corrective actions if necessary, and revising the maintenance or inspection program by incorporating an airworthiness limitation (AWL). We are proposing this AD to address the unsafe condition on these products.", 2017-04598,https://www.federalregister.gov/documents/2017/03/09/2017-04598/airworthiness-directives-the-boeing-company-airplanes,https://www.gpo.gov/fdsys/pkg/FR-2017-03-09/pdf/2017-04598.pdf,03/09/2017
Special Local Regulations and Safety Zones; Annually Recurring Events in Coast Guard Southeastern New England Captain of the Port Zone,Proposed Rule,Homeland Security Department; Coast Guard,"The Coast Guard proposes to amend a special local regulation to change the method of providing notice to the public when enforcing the safety zone associated with the biennial Newport/Bermuda Race. The Coast Guard also proposes to establish permanent safety zones in Coast Guard Southeastern New England Captain of the Port (COTP) Zone for several recurring marine events. When the special local regulation or safety zones are activated and subject to enforcement, vessels and people may be restricted from portions of water areas that may pose a hazard to public safety. The revised special local regulation and safety zones would expedite public notification of the applicable marine events, and help protect the maritime public and event participants from hazards associated with these recurring marine events. We invite your comments on this proposed rulemaking.", 2017-04563,https://www.federalregister.gov/documents/2017/03/09/2017-04563/special-local-regulations-and-safety-zones-annually-recurring-events-in-coast-guard-southeastern-new,https://www.gpo.gov/fdsys/pkg/FR-2017-03-09/pdf/2017-04563.pdf,03/09/2017
