title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Approval and Promulgation of State Plans for Designated Facilities and Pollutants; United States Virgin Islands; Other Solid Waste Incineration Units,Proposed Rule,Environmental Protection Agency,The Environmental Protection Agency (EPA) proposes to approve the Clean Air Act (CAA) section 111(d)/129 negative declaration for the United States Virgin Islands for other solid waste incineration units. Other solid waste incineration (OSWI) unit means either a very small municipal waste combustion unit or an institutional waste incineration unit. This negative declaration certifies that existing OSWI units subject to sections 111(d) and 129 of the CAA do not exist within the jurisdiction of the United States Virgin Islands. The EPA is accepting the negative declaration in accordance with the requirements of the CAA., 2017-19705,https://www.federalregister.gov/documents/2017/09/15/2017-19705/approval-and-promulgation-of-state-plans-for-designated-facilities-and-pollutants-united-states,https://www.gpo.gov/fdsys/pkg/FR-2017-09-15/pdf/2017-19705.pdf,09/15/2017
Ohio: Final Authorization of State Hazardous Waste Management Program Revision,Proposed Rule,Environmental Protection Agency,"Ohio has applied to EPA for Final Authorization of the changes to its hazardous waste program under the Resource Conservation and Recovery Act (RCRA). EPA has reviewed Ohio's application with regards to federal requirements, and is proposing to authorize the state's changes.", 2017-19696,https://www.federalregister.gov/documents/2017/09/15/2017-19696/ohio-final-authorization-of-state-hazardous-waste-management-program-revision,https://www.gpo.gov/fdsys/pkg/FR-2017-09-15/pdf/2017-19696.pdf,09/15/2017
"Service Rules for the 698-746, 747-762, and 777-792 MHz Bands; Correction",Proposed Rule,Federal Communications Commission,"The Federal Communications Commission is correcting a document that appeared in the Federal Register on September 7, 2017. The document listed incorrect dates by which interested parties may file comments and reply comments.", 2017-19481,https://www.federalregister.gov/documents/2017/09/15/2017-19481/service-rules-for-the-698-746-747-762-and-777-792-mhz-bands-correction,https://www.gpo.gov/fdsys/pkg/FR-2017-09-15/pdf/2017-19481.pdf,09/15/2017
Automated Driving Systems: A Vision for Safety,Proposed Rule,Transportation Department; National Highway Traffic Safety Administration,"NHTSA is releasing new voluntary guidance on automated driving systems--Automated Driving Systems: A Vision for Safety. The new voluntary guidance is based on public comments received on the Federal Automated Vehicles Policy (FAVP) released in September 2016. The purpose of this new voluntary guidance is to support industry innovators, States and other key stakeholders as they consider and design best practices relative to the testing and deployment of automated vehicle technologies, while informing and educating the public and improving roadway safety. NHTSA invites public comment on the voluntary guidance and additional ways to improve its usefulness. This new voluntary guidance is an important part of DOT's multi- modal efforts to support the introduction of automation technologies that hold the promise of fulfilling NHTSA's mission of reducing the number of injuries and fatalities on our roads. As an update to the FAVP this new voluntary guidance serves as NHTSA's current operating guidance for Automated Driving Systems (ADSs--SAE International Automation Levels 3-5). NHTSA intends to continue to revise and refine the guidance periodically to reflect continued public input, experience, research, and innovation, and will address significant comments in preparing future iterations of the guidance. This guidance supports that effort.", 2017-19637,https://www.federalregister.gov/documents/2017/09/15/2017-19637/automated-driving-systems-a-vision-for-safety,https://www.gpo.gov/fdsys/pkg/FR-2017-09-15/pdf/2017-19637.pdf,09/15/2017
Fisheries Off West Coast States; Highly Migratory Fisheries; Amendment 5 to the Highly Migratory Species Fishery Management Plan; California Drift Gillnet Fishery; Implementation of a Federal Limited Entry Drift Gillnet Permit,Proposed Rule,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS announces that the Pacific Fishery Management Council (Council) has submitted Amendment 5 to the Fishery Management Plan for U.S. West Coast Fisheries for Highly Migratory Species (HMS FMP) for review by the Secretary of Commerce. The intent of Amendment 5 is to implement a federal limited entry (LE) permit for the California/Oregon large-mesh drift gillnet (DGN) fishery. The amendment would bring the State of California's LE DGN permit program under Magnuson-Stevens Fishery Conservation and Management Act (MSA) authority. All current California DGN permit holders would be eligible to apply for, and receive, a federal DGN permit and no additional DGN permits would be created. The amendment is administrative in nature and is not anticipated to result in increased activity, effort, or capacity in the fishery.", 2017-19662,https://www.federalregister.gov/documents/2017/09/15/2017-19662/fisheries-off-west-coast-states-highly-migratory-fisheries-amendment-5-to-the-highly-migratory,https://www.gpo.gov/fdsys/pkg/FR-2017-09-15/pdf/2017-19662.pdf,09/15/2017
Airworthiness Directives; Sikorsky Aircraft Corporation Helicopters,Proposed Rule,Transportation Department; Federal Aviation Administration,We propose to adopt a new airworthiness directive (AD) for Sikorsky Aircraft Corporation (Sikorsky) Model S-76C helicopters. This proposed AD would require inspecting the engine collective position transducer (CPT). This proposed AD is prompted by reports of wear of the CPT that has resulted in several One Engine Inoperative (OEI) incidents. The proposed actions are intended to detect and prevent an unsafe condition on these products., 2017-19450,https://www.federalregister.gov/documents/2017/09/14/2017-19450/airworthiness-directives-sikorsky-aircraft-corporation-helicopters,https://www.gpo.gov/fdsys/pkg/FR-2017-09-14/pdf/2017-19450.pdf,09/14/2017
"Arcadia Biosciences, Inc.; Filing of Food Additive Petition (Animal Use)",Proposed Rule,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or we) is announcing that Arcadia Biosciences, Inc. has filed a petition proposing that the food additive regulations be amended to provide for the safe use of gamma-linolenic acid (GLA) safflower oil as a source of omega-6 fatty acids in dry food for adult cats in the maintenance life stage.", 2017-19491,https://www.federalregister.gov/documents/2017/09/14/2017-19491/arcadia-biosciences-inc-filing-of-food-additive-petition-animal-use,https://www.gpo.gov/fdsys/pkg/FR-2017-09-14/pdf/2017-19491.pdf,09/14/2017
Definition of Automobile Transporter,Proposed Rule,Transportation Department; Federal Highway Administration,This document requests comments on including non-cargo- carrying tractor-high mount automobile semi-trailer combination in the definition of automobile transporter in the FHWA's guidance., 2017-19516,https://www.federalregister.gov/documents/2017/09/14/2017-19516/definition-of-automobile-transporter,https://www.gpo.gov/fdsys/pkg/FR-2017-09-14/pdf/2017-19516.pdf,09/14/2017
"Bureau of Indian Education Standards, Assessments, and Accountability System Negotiated Rulemaking Committee Establishment; Nominations",Proposed Rule,Interior Department; Indian Affairs Bureau,"The U.S. Department of the Interior is announcing its intent to establish the Bureau of Indian Education (BIE) Standards, Assessments, and Accountability System Negotiated Rulemaking Committee (Committee) to advise the Secretary of the Interior (Secretary) through the BIE on a proposed rule to revise the Adequate Yearly Progress regulation and invite Tribes whose students attend BIE-funded schools operated by either the BIE or by the Tribe through a contract or grant who would be affected by the final rule to nominate a representative for membership on the Committee. The BIE also invites nominations for Committee members who will adequately represent the interests that are likely to be significantly affected by the proposed rule such as: Students enrolled, or parents of students enrolled at the 174 BIE- funded schools, school teachers and administrators, Tribes, and Indian communities served by these schools. The BIE also solicits comments on the proposal to establish the Committee.", 2017-19111,https://www.federalregister.gov/documents/2017/09/14/2017-19111/bureau-of-indian-education-standards-assessments-and-accountability-system-negotiated-rulemaking,https://www.gpo.gov/fdsys/pkg/FR-2017-09-14/pdf/2017-19111.pdf,09/14/2017
Revisions to California State Implementation Plan; Bay Area Air Quality Management District; Emission Reduction Credit Banking,Proposed Rule,Environmental Protection Agency,The Environmental Protection Agency (EPA) is proposing action on a revision to the Bay Area Air Quality Management District (BAAQMD or District) portion of the California State Implementation Plan (SIP). We are proposing a conditional approval of one rule. This revision consists of updates to provisions governing the issuance and banking of Emission Reduction Credits for use in the review and permitting of major sources and major modifications under part D of title I of the Clean Air Act (CAA). We are taking comments on this proposal and plan to follow with a final action., 2017-19451,https://www.federalregister.gov/documents/2017/09/14/2017-19451/revisions-to-california-state-implementation-plan-bay-area-air-quality-management-district-emission,https://www.gpo.gov/fdsys/pkg/FR-2017-09-14/pdf/2017-19451.pdf,09/14/2017
